"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 15 15:40:22 GMT 2021","Wed Sep 15 15:40:22 GMT 2021","0","","allure_spike.MyBiasTest","","allure_spike.MyBiasTest","","allure_spike.MyBiasTest.Run",""
"passed","Wed Sep 15 15:40:23 GMT 2021","Wed Sep 15 15:40:23 GMT 2021","0","","allure_spike.MyBiasTest","","allure_spike.MyBiasTest","","allure_spike.MyBiasTest.ExecuteSql",""
