"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 15 15:59:37 GMT 2021","Wed Sep 15 15:59:37 GMT 2021","0","","allure_spike.MyBiasTest","","allure_spike.MyBiasTest","","allure_spike.MyBiasTest.ExecuteSql",""
"failed","Wed Sep 15 15:59:37 GMT 2021","Wed Sep 15 15:59:37 GMT 2021","0","","allure_spike.MyBiasTest","","allure_spike.MyBiasTest","","allure_spike.MyBiasTest.Run",""
