"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Sep 13 11:57:05 GMT 2021","Mon Sep 13 11:57:05 GMT 2021","0","","allure_spike.MyBiasTest","","allure_spike.MyBiasTest","","allure_spike.MyBiasTest.ExecuteSql",""
"failed","Mon Sep 13 11:57:05 GMT 2021","Mon Sep 13 11:57:05 GMT 2021","0","","allure_spike.MyBiasTest","","allure_spike.MyBiasTest","","allure_spike.MyBiasTest.Run",""
